EVENT_NAME	COUNT_STAR	SUM_TIMER_WAIT_MS	AVG_TIMER_WAIT_MS
wait/synch/mutex/innodb/file_format_max_mutex	328	0.0444	0.0001
wait/synch/mutex/innodb/trx_pool_manager_mutex	168	0.0319	0.0002
wait/synch/mutex/innodb/recalc_pool_mutex	79	0.0141	0.0002
wait/io/file/sql/global_ddl_log	2	0.0109	0.0054
wait/synch/mutex/innodb/recv_sys_mutex	174	0.0092	0.0001
wait/synch/mutex/innodb/thread_mutex	32	0.0029	0.0001
wait/synch/mutex/innodb/recv_writer_mutex	3	0.0005	0.0002
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	12	0.0004	0.0000
wait/synch/mutex/innodb/autoinc_mutex	1	0.0000	0.0000
EVENT_NAME	COUNT_STAR	SUM_TIMER_WAIT_MS	AVG_TIMER_WAIT_MS
wait/io/table/sql/handler	164192719	9098934.8960	0.0554
wait/io/file/innodb/innodb_data_file	19101985	4015989.3637	0.2102
wait/synch/sxlock/innodb/btr_search_latch	113036471	1535452.0307	0.0136
wait/synch/sxlock/innodb/hash_table_locks	1010807431	122817.8638	0.0001
wait/synch/mutex/innodb/lock_mutex	173313877	89769.1526	0.0005
wait/synch/sxlock/innodb/index_tree_rw_lock	141098049	81583.7197	0.0006
wait/lock/table/sql/handler	88271338	73790.2776	0.0008
wait/synch/mutex/innodb/log_sys_mutex	127974198	55117.7682	0.0004
wait/synch/mutex/innodb/buf_pool_mutex	144206030	48951.3180	0.0003
wait/synch/mutex/innodb/fil_system_mutex	177960500	38456.9514	0.0002
wait/io/file/innodb/innodb_log_file	26865	37038.6895	1.3787
wait/synch/mutex/innodb/trx_mutex	902124825	33709.0017	0.0000
wait/synch/mutex/innodb/trx_sys_mutex	81981459	20621.8238	0.0003
wait/synch/sxlock/innodb/fil_space_latch	3295742	12523.4533	0.0038
wait/synch/sxlock/innodb/dict_operation_lock	60348637	5719.2325	0.0001
wait/synch/mutex/innodb/log_sys_write_mutex	386646	4796.4357	0.0124
wait/synch/mutex/innodb/sync_array_mutex	12482409	4307.0285	0.0003
wait/synch/mutex/innodb/redo_rseg_mutex	17232206	3493.2294	0.0002
wait/synch/mutex/innodb/buf_dblwr_mutex	2744301	2608.5327	0.0010
